areaCode,areaName,areaType,date,age,cases,rollingSum,rollingRate
E92000001,England,nation,2021-06-29,25_29,2618,13333,350.7
E92000001,England,nation,2021-06-29,30_34,1817,8971,235.6
E92000001,England,nation,2021-06-29,35_39,1466,7457,199.7
E92000001,England,nation,2021-06-29,40_44,1281,6622,193.9
E92000001,England,nation,2021-06-29,45_49,1054,5676,152.8
E92000001,England,nation,2021-06-29,50_54,833,4434,113.5
E92000001,England,nation,2021-06-29,55_59,610,3198,87.1
E92000001,England,nation,2021-06-29,60+,958,4691,34.8
E92000001,England,nation,2021-06-29,60_64,361,1792,57.6
E92000001,England,nation,2021-06-29,65_69,223,996,35.6
E92000001,England,nation,2021-06-29,70_74,144,770,27.7
E92000001,England,nation,2021-06-29,75_79,105,520,26.8
E92000001,England,nation,2021-06-29,80_84,61,333,23.1
E92000001,England,nation,2021-06-29,85_89,37,173,19.7
E92000001,England,nation,2021-06-29,90+,27,107,20.7
E92000001,England,nation,2021-06-29,unassigned,10,50,
E92000001,England,nation,2021-06-28,00_04,467,2137,64.8
E92000001,England,nation,2021-06-28,00_59,21952,103511,241.7
E92000001,England,nation,2021-06-28,05_09,1521,6320,178.6
E92000001,England,nation,2021-06-28,10_14,2759,11823,352.5
E92000001,England,nation,2021-06-28,15_19,3154,15236,493.0
E92000001,England,nation,2021-06-28,20_24,4568,22342,640.6
E92000001,England,nation,2021-06-28,25_29,2379,12436,327.1
E92000001,England,nation,2021-06-28,30_34,1682,8157,214.2
E92000001,England,nation,2021-06-28,35_39,1418,6773,181.4
E92000001,England,nation,2021-06-28,40_44,1357,6011,176.1
E92000001,England,nation,2021-06-28,45_49,1138,5246,141.2
E92000001,England,nation,2021-06-28,50_54,904,4110,105.2
E92000001,England,nation,2021-06-28,55_59,605,2920,79.5
E92000001,England,nation,2021-06-28,60+,882,4227,31.4
E92000001,England,nation,2021-06-28,60_64,325,1607,51.6
E92000001,England,nation,2021-06-28,65_69,197,885,31.6
E92000001,England,nation,2021-06-28,70_74,154,722,26.0
E92000001,England,nation,2021-06-28,75_79,90,465,24.0
E92000001,England,nation,2021-06-28,80_84,60,297,20.6
E92000001,England,nation,2021-06-28,85_89,36,160,18.2
E92000001,England,nation,2021-06-28,90+,20,91,17.6
E92000001,England,nation,2021-06-28,unassigned,13,49,
E92000001,England,nation,2021-06-27,00_04,264,1906,57.8
E92000001,England,nation,2021-06-27,00_59,14404,93507,218.4
E92000001,England,nation,2021-06-27,05_09,846,5566,157.3
E92000001,England,nation,2021-06-27,10_14,1899,10380,309.5
E92000001,England,nation,2021-06-27,15_19,2158,13816,447.1
E92000001,England,nation,2021-06-27,20_24,3039,20283,581.5
E92000001,England,nation,2021-06-27,25_29,1562,11558,304.0
E92000001,England,nation,2021-06-27,30_34,1129,7434,195.2
E92000001,England,nation,2021-06-27,35_39,954,6094,163.2
E92000001,England,nation,2021-06-27,40_44,824,5361,157.0
E92000001,England,nation,2021-06-27,45_49,722,4706,126.6
E92000001,England,nation,2021-06-27,50_54,598,3724,95.3
E92000001,England,nation,2021-06-27,55_59,409,2679,73.0
E92000001,England,nation,2021-06-27,60+,623,3774,28.0
E92000001,England,nation,2021-06-27,60_64,238,1451,46.6
E92000001,England,nation,2021-06-27,65_69,116,781,27.9
E92000001,England,nation,2021-06-27,70_74,125,633,22.8
E92000001,England,nation,2021-06-27,75_79,70,423,21.8
E92000001,England,nation,2021-06-27,80_84,40,266,18.5
E92000001,England,nation,2021-06-27,85_89,15,139,15.8
E92000001,England,nation,2021-06-27,90+,19,81,15.7
E92000001,England,nation,2021-06-27,unassigned,4,46,
E92000001,England,nation,2021-06-26,00_04,258,1785,54.1
E92000001,England,nation,2021-06-26,00_59,12607,86787,202.7
E92000001,England,nation,2021-06-26,05_09,774,5142,145.3
E92000001,England,nation,2021-06-26,10_14,1374,9439,281.4
E92000001,England,nation,2021-06-26,15_19,1862,12847,415.7
E92000001,England,nation,2021-06-26,20_24,2741,18896,541.8
E92000001,England,nation,2021-06-26,25_29,1516,10875,286.1
E92000001,England,nation,2021-06-26,30_34,995,6895,181.1
E92000001,England,nation,2021-06-26,35_39,825,5626,150.7
E92000001,England,nation,2021-06-26,40_44,751,4979,145.8
E92000001,England,nation,2021-06-26,45_49,637,4342,116.9
E92000001,England,nation,2021-06-26,50_54,505,3473,88.9
E92000001,England,nation,2021-06-26,55_59,369,2488,67.8
E92000001,England,nation,2021-06-26,60+,550,3462,25.7
E92000001,England,nation,2021-06-26,60_64,228,1344,43.2
E92000001,England,nation,2021-06-26,65_69,98,743,26.6
E92000001,England,nation,2021-06-26,70_74,82,558,20.1
E92000001,England,nation,2021-06-26,75_79,74,376,19.4
E92000001,England,nation,2021-06-26,80_84,39,243,16.9
E92000001,England,nation,2021-06-26,85_89,21,132,15.0
E92000001,England,nation,2021-06-26,90+,8,66,12.8
E92000001,England,nation,2021-06-26,unassigned,1,46,
E92000001,England,nation,2021-06-25,00_04,282,1661,50.3
E92000001,England,nation,2021-06-25,00_59,13904,80821,188.7
E92000001,England,nation,2021-06-25,05_09,881,4701,132.9
E92000001,England,nation,2021-06-25,10_14,1463,8684,258.9
E92000001,England,nation,2021-06-25,15_19,2066,12045,389.8
E92000001,England,nation,2021-06-25,20_24,3150,17694,507.3
E92000001,England,nation,2021-06-25,25_29,1594,10207,268.5
E92000001,England,nation,2021-06-25,30_34,1078,6397,168.0
E92000001,England,nation,2021-06-25,35_39,905,5221,139.8
E92000001,England,nation,2021-06-25,40_44,833,4607,134.9
E92000001,England,nation,2021-06-25,45_49,724,4040,108.7
E92000001,England,nation,2021-06-25,50_54,518,3239,82.9
E92000001,England,nation,2021-06-25,55_59,410,2325,63.3
E92000001,England,nation,2021-06-25,60+,585,3202,23.8
E92000001,England,nation,2021-06-25,60_64,211,1221,39.2
E92000001,England,nation,2021-06-25,65_69,122,703,25.1
E92000001,England,nation,2021-06-25,70_74,94,525,18.9
E92000001,England,nation,2021-06-25,75_79,75,336,17.3
E92000001,England,nation,2021-06-25,80_84,51,223,15.5
E92000001,England,nation,2021-06-25,85_89,23,127,14.4
E92000001,England,nation,2021-06-25,90+,9,67,13.0
E92000001,England,nation,2021-06-25,unassigned,5,46,
E92000001,England,nation,2021-06-24,00_04,312,1557,47.2
E92000001,England,nation,2021-06-24,00_59,14098,75029,175.2
E92000001,England,nation,2021-06-24,05_09,825,4244,119.9
E92000001,England,nation,2021-06-24,10_14,1445,7932,236.5
E92000001,England,nation,2021-06-24,15_19,2070,11246,363.9
E92000001,England,nation,2021-06-24,20_24,2986,16418,470.7
E92000001,England,nation,2021-06-24,25_29,1805,9646,253.7
E92000001,England,nation,2021-06-24,30_34,1158,6043,158.7
E92000001,England,nation,2021-06-24,35_39,964,4832,129.4
E92000001,England,nation,2021-06-24,40_44,833,4212,123.4
E92000001,England,nation,2021-06-24,45_49,715,3750,100.9
E92000001,England,nation,2021-06-24,50_54,581,3031,77.6
E92000001,England,nation,2021-06-24,55_59,404,2118,57.7
E92000001,England,nation,2021-06-24,60+,568,3001,22.3
E92000001,England,nation,2021-06-24,60_64,221,1150,37.0
E92000001,England,nation,2021-06-24,65_69,120,650,23.2
E92000001,England,nation,2021-06-24,70_74,91,494,17.8
E92000001,England,nation,2021-06-24,75_79,58,302,15.6
E92000001,England,nation,2021-06-24,80_84,44,204,14.2
E92000001,England,nation,2021-06-24,85_89,20,126,14.3
E92000001,England,nation,2021-06-24,90+,14,75,14.5
E92000001,England,nation,2021-06-24,unassigned,12,47,
E92000001,England,nation,2021-06-23,00_04,315,1441,43.7
E92000001,England,nation,2021-06-23,00_59,13858,69769,162.9
E92000001,England,nation,2021-06-23,05_09,787,3876,109.5
E92000001,England,nation,2021-06-23,10_14,1484,7238,215.8
E92000001,England,nation,2021-06-23,15_19,2032,10557,341.6
E92000001,England,nation,2021-06-23,20_24,3029,15416,442.0
E92000001,England,nation,2021-06-23,25_29,1859,9032,237.6
E92000001,England,nation,2021-06-23,30_34,1112,5664,148.7
E92000001,England,nation,2021-06-23,35_39,925,4408,118.1
E92000001,England,nation,2021-06-23,40_44,743,3885,113.8
E92000001,England,nation,2021-06-23,45_49,686,3439,92.6
E92000001,England,nation,2021-06-23,50_54,495,2838,72.6
E92000001,England,nation,2021-06-23,55_59,391,1975,53.8
E92000001,England,nation,2021-06-23,60+,525,2780,20.6
E92000001,England,nation,2021-06-23,60_64,208,1064,34.2
E92000001,England,nation,2021-06-23,65_69,120,613,21.9
E92000001,England,nation,2021-06-23,70_74,80,456,16.4
E92000001,England,nation,2021-06-23,75_79,48,267,13.8
E92000001,England,nation,2021-06-23,80_84,38,185,12.8
E92000001,England,nation,2021-06-23,85_89,21,121,13.8
E92000001,England,nation,2021-06-23,90+,10,74,14.3
E92000001,England,nation,2021-06-23,unassigned,5,45,
